ai_text,global_expansion,techniques,ndcg,map
True,False,lemmatization,0.6892193246443862,0.6302926369410327
True,False,lemmatization_lowercase_text,0.6892193246443862,0.6302926369410327
True,False,lemmatization_lowercase_text_remove_stopwords,0.7112174302487612,0.65466280018759
True,False,lemmatization_remove_stopwords,0.7112174302487612,0.65466280018759
True,False,lowercase_text,0.721150052359571,0.6751734653618418
True,False,lowercase_text_remove_stopwords,0.7308087267390652,0.6865770829099664
True,False,lowercase_text_remove_stopwords_stemming,0.6924652241181619,0.6268908245503355
True,False,lowercase_text_stemming,0.6909210041065386,0.6185349623159252
True,False,remove_stopwords,0.7308087267390652,0.6865770829099664
True,False,remove_stopwords_stemming,0.6924652241181619,0.6268908245503355
True,False,stemming,0.6909210041065386,0.6185349623159252
True,False,lemmatization,0.6892193246443862,0.6302926369410327
True,False,lemmatization_lowercase_text,0.6892193246443862,0.6302926369410327
True,False,lemmatization_lowercase_text_remove_stopwords,0.7112174302487612,0.65466280018759
True,False,lemmatization_remove_stopwords,0.7112174302487612,0.65466280018759
True,False,lowercase_text,0.721150052359571,0.6751734653618418
True,False,lowercase_text_remove_stopwords,0.7308087267390652,0.6865770829099664
True,False,lowercase_text_remove_stopwords_stemming,0.6924652241181619,0.6268908245503355
True,False,lowercase_text_stemming,0.6909210041065386,0.6185349623159252
True,False,remove_stopwords,0.7308087267390652,0.6865770829099664
True,False,remove_stopwords_stemming,0.6924652241181619,0.6268908245503355
True,False,stemming,0.6909210041065386,0.6185349623159252
True,False,lemmatization,0.6892193246443862,0.6302926369410327
True,False,lemmatization_lowercase_text,0.6892193246443862,0.6302926369410327
True,False,lemmatization_lowercase_text_remove_stopwords,0.7112174302487612,0.65466280018759
True,False,lemmatization_remove_stopwords,0.7112174302487612,0.65466280018759
True,False,lowercase_text,0.721150052359571,0.6751734653618418
True,False,lowercase_text_remove_stopwords,0.7308087267390652,0.6865770829099664
True,False,lowercase_text_remove_stopwords_stemming,0.6924652241181619,0.6268908245503355
True,False,lowercase_text_stemming,0.6909210041065386,0.6185349623159252
True,False,remove_stopwords,0.7308087267390652,0.6865770829099664
True,False,remove_stopwords_stemming,0.6924652241181619,0.6268908245503355
True,False,stemming,0.6909210041065386,0.6185349623159252
False,False,lemmatization,0.7064336523523397,0.6483925895331145
False,False,lemmatization_lowercase_text,0.7064336523523397,0.6483925895331145
False,False,lemmatization_lowercase_text_remove_stopwords,0.7149202190326435,0.6594101856177566
False,False,lemmatization_remove_stopwords,0.7149202190326435,0.6594101856177566
False,False,lowercase_text,0.728399461249162,0.6839857680475377
False,False,lowercase_text_remove_stopwords,0.7345054738177772,0.6915728877600127
False,False,lowercase_text_remove_stopwords_stemming,0.6909745735135601,0.6260054100465516
False,False,lowercase_text_stemming,0.6901137070391729,0.6185794977642094
False,False,remove_stopwords,0.7345054738177772,0.6915728877600127
False,False,remove_stopwords_stemming,0.6909745735135601,0.6260054100465516
False,False,stemming,0.6901137070391729,0.6185794977642094
False,False,lemmatization,0.7064336523523397,0.6483925895331145
False,False,lemmatization_lowercase_text,0.7064336523523397,0.6483925895331145
False,False,lemmatization_lowercase_text_remove_stopwords,0.7149202190326435,0.6594101856177566
False,False,lemmatization_remove_stopwords,0.7149202190326435,0.6594101856177566
False,False,lowercase_text,0.728399461249162,0.6839857680475377
False,False,lowercase_text_remove_stopwords,0.7345054738177772,0.6915728877600127
False,False,lowercase_text_remove_stopwords_stemming,0.6909745735135601,0.6260054100465516
False,False,lowercase_text_stemming,0.6901137070391729,0.6185794977642094
False,False,remove_stopwords,0.7345054738177772,0.6915728877600127
False,False,remove_stopwords_stemming,0.6909745735135601,0.6260054100465516
False,False,stemming,0.6901137070391729,0.6185794977642094
False,False,lemmatization,0.7064336523523397,0.6483925895331145
False,False,lemmatization_lowercase_text,0.7064336523523397,0.6483925895331145
False,False,lemmatization_lowercase_text_remove_stopwords,0.7149202190326435,0.6594101856177566
False,False,lemmatization_remove_stopwords,0.7149202190326435,0.6594101856177566
False,False,lowercase_text,0.728399461249162,0.6839857680475377
False,False,lowercase_text_remove_stopwords,0.7345054738177772,0.6915728877600127
False,False,lowercase_text_remove_stopwords_stemming,0.6909745735135601,0.6260054100465516
False,False,lowercase_text_stemming,0.6901137070391729,0.6185794977642094
False,False,remove_stopwords,0.7345054738177772,0.6915728877600127
False,False,remove_stopwords_stemming,0.6909745735135601,0.6260054100465516
False,False,stemming,0.6901137070391729,0.6185794977642094
